,HorizontalLength(ft),StageSpacing(ft),ProppantIntensity(llb_ft),ProppantConcentration(llb_gal),Bg,iso,Sw,Phi,Depth-TrueVertical(ft),Pressure,FluidType_LABELS
HorizontalLength(ft),1.0,0.11126690034287925,0.0070582436386310825,0.166889814476274,0.02205336140554688,-0.14828752154754135,0.08898094526074526,0.04766042826808355,-0.014843014249677726,0.0916150879120666,-0.005715902147896185
StageSpacing(ft),0.11126690034287925,1.0,-0.5732608735499671,0.17638796109229757,0.17040838626066498,-0.24459237410087403,0.08275030817109892,-0.029885181485630664,-0.1344184869322204,0.19892750387459252,-0.15496568074508446
ProppantIntensity(llb_ft),0.0070582436386310825,-0.5732608735499671,1.0,-0.009709719468908315,-0.22152332357619545,0.26336903774968895,-0.08827548566628687,0.024367509515514973,0.1826590079847981,-0.18688854456285786,0.08556070556023168
ProppantConcentration(llb_gal),0.166889814476274,0.17638796109229757,-0.009709719468908315,1.0,0.12235735822584025,-0.3048827758817036,0.21902049465271606,0.056076245230865095,-0.06860773028624097,0.23485923922508836,-0.026595509631648192
Bg,0.02205336140554688,0.17040838626066498,-0.22152332357619545,0.12235735822584025,1.0,-0.3961506041586279,0.21524563387100112,0.02520502729996522,-0.5876238466061059,0.13089566435085795,-0.025761523333570794
iso,-0.14828752154754135,-0.24459237410087403,0.26336903774968895,-0.3048827758817036,-0.3961506041586279,1.0,-0.3988741188419233,-0.08677709517752641,0.4233257917821509,-0.35524880236482204,0.05737859534432872
Sw,0.08898094526074526,0.08275030817109892,-0.08827548566628687,0.21902049465271606,0.21524563387100112,-0.3988741188419233,1.0,-0.0654175950092054,-0.05775078467448804,0.3485938965475334,-0.0500903702897287
Phi,0.04766042826808355,-0.029885181485630664,0.024367509515514973,0.056076245230865095,0.02520502729996522,-0.08677709517752641,-0.0654175950092054,1.0,-0.1016474948439248,0.005859717112941101,0.07881274044153258
Depth-TrueVertical(ft),-0.014843014249677726,-0.1344184869322204,0.1826590079847981,-0.06860773028624097,-0.5876238466061059,0.4233257917821509,-0.05775078467448804,-0.1016474948439248,1.0,-0.08189118610936197,0.012008494235410403
Pressure,0.0916150879120666,0.19892750387459252,-0.18688854456285786,0.23485923922508836,0.13089566435085795,-0.35524880236482204,0.3485938965475334,0.005859717112941101,-0.08189118610936197,1.0,-0.07840068123848093
FluidType_LABELS,-0.005715902147896185,-0.15496568074508446,0.08556070556023168,-0.026595509631648192,-0.025761523333570794,0.05737859534432872,-0.0500903702897287,0.07881274044153258,0.012008494235410403,-0.07840068123848093,1.0
